Nível;CD_MUN;Município;Cana-2016;Soja-2016;Cana-2017;Soja-2017;Cana-2018;Soja-2018;Cana-2019;Soja-2019;Cana-2020;Soja-2020
MU;3502804;Araçatuba (SP);68354;2400;65000;1980;80000;3600;75000;2100;80000;3000
MU;3502903;Araçoiaba da Serra (SP);80000;3400;80000;3400;80000;3400;80000;3400;80000;3400
MU;3503000;Aramina (SP);80000;3300;80000;3300;80000;3300;75000;2827;75000;1835
MU;3503109;Arandu (SP);60000;3651;60000;3632;55000;3600;0;4309;60000;4050
MU;3503158;Arapeí (SP);0;0;65000;0;65000;0;65000;0;65000;0
MU;3503208;Araraquara (SP);80000;3000;80000;3000;80000;3000;80000;4500;80000;4500
MU;3503307;Araras (SP);80000;3300;80000;3000;76444;3150;80000;3280;80000;3000
MU;3503356;Arco-Íris (SP);75000;3598;61000;0;82800;0;70000;0;75000;0
MU;3503406;Arealva (SP);72125;3599;75000;3064;80000;3608;77000;2543;72000;3518
MU;3503505;Areias (SP);0;0;60000;0;60000;0;65000;0;60000;0
MU;3503604;Areiópolis (SP);88000;2500;83000;0;83000;0;84438;0;84444;0
MU;3503703;Ariranha (SP);89247;0;85000;0;85000;0;73000;2400;73000;3200
MU;3503802;Artur Nogueira (SP);80000;2452;80000;2452;77667;2000;78400;2360;80000;2400
MU;3503901;Arujá (SP);0;0;0;0;0;0;0;0;0;0
MU;3503950;Aspásia (SP);85000;0;85000;0;85000;0;90000;0;90000;0
MU;3504008;Assis (SP);75000;2880;95000;2880;85000;2940;85000;2820;85000;2900
MU;3504107;Atibaia (SP);70000;3000;70000;3000;70000;3000;70000;3000;70000;3000
MU;3504206;Auriflama (SP);70000;0;70000;2400;70000;2400;75000;2200;70000;2400
MU;3504305;Avaí (SP);61680;0;61680;0;70000;0;70000;0;75000;0
MU;3504404;Avanhandava (SP);76530;1921;61900;2099;61900;2700;75000;2700;66000;2699
MU;3504503;Avaré (SP);70000;2400;70000;0;70000;3200;70000;3618;72500;3600
MU;3504602;Bady Bassitt (SP);90000;3600;90000;3597;90000;3600;85000;2200;85000;3000
MU;3504701;Balbinos (SP);85019;0;80000;0;90000;0;90000;0;90000;0
MU;3504800;Bálsamo (SP);70000;2100;80000;1800;70000;3200;80000;2400;80000;3000
MU;3504909;Bananal (SP);65000;0;65000;0;65000;0;65000;0;65000;0
MU;3505005;Barão de Antonina (SP);0;3720;0;3600;0;3600;0;4214;0;4000
MU;3505104;Barbosa (SP);74360;2700;70220;3000;70220;2400;50000;2100;70000;2400
MU;3505203;Bariri (SP);80000;3000;82000;3600;75000;3715;78000;3350;75000;3616
MU;3505302;Barra Bonita (SP);85000;4200;85000;4680;85000;4509;75000;3000;75000;4196
MU;3505351;Barra do Chapéu (SP);0;0;0;0;0;0;50000;0;50000;0
MU;3505401;Barra do Turvo (SP);0;0;0;0;20000;0;46000;0;46000;0
MU;3505500;Barretos (SP);90000;2700;90000;3000;81000;3000;83667;2700;84889;3604
MU;3505609;Barrinha (SP);80000;3000;85000;3506;85000;2506;85000;2506;85000;2506
MU;3505708;Barueri (SP);0;0;0;0;0;0;0;0;0;0
MU;3505807;Bastos (SP);75000;0;75000;0;68000;0;70000;0;71000;0
MU;3505906;Batatais (SP);85000;3000;85000;2100;85000;2100;85000;3300;85000;3300
MU;3506003;Bauru (SP);70000;0;70000;3000;65000;3000;65000;3000;70000;0
MU;3506102;Bebedouro (SP);82000;3300;82000;3600;65000;3600;75000;2100;75000;3600
MU;3506201;Bento de Abreu (SP);77000;3600;77000;3550;80000;3600;71656;3250;75000;2935
MU;3506300;Bernardino de Campos (SP);80000;2550;80000;2550;80000;3000;80000;3600;80000;3643
MU;3506359;Bertioga (SP);0;0;0;0;0;0;0;0;0;0
MU;3506409;Bilac (SP);73000;2880;74000;2940;70000;3000;70000;1500;70000;3300
MU;3506508;Birigui (SP);80000;3727;80000;4158;80000;3883;60000;2653;60000;3616
MU;3506607;Biritiba Mirim (SP);0;0;0;0;0;0;0;0;0;0
MU;3506706;Boa Esperança do Sul (SP);80000;2880;75000;3600;75000;3000;78333;3000;77000;4500
MU;3506805;Bocaina (SP);80000;3264;80000;2463;80000;3528;75000;2856;75000;3681
MU;3506904;Bofete (SP);60000;0;80000;0;80000;0;71875;0;71875;0
