Nível;CD_MUN;Município;Cana-2016;Soja-2016;Cana-2017;Soja-2017;Cana-2018;Soja-2018;Cana-2019;Soja-2019;Cana-2020;Soja-2020
MU;3548500;Santos (SP);0;0;0;0;0;0;0;0;0;0
MU;3548609;São Bento do Sapucaí (SP);0;0;0;0;0;0;0;0;0;0
MU;3548708;São Bernardo do Campo (SP);0;0;0;0;0;0;0;0;0;0
MU;3548906;São Carlos (SP);85000;3600;80000;3600;80000;3600;80000;3600;85000;3600
MU;3549003;São Francisco (SP);90000;0;90000;2460;90000;3300;90000;3300;90000;3000
MU;3549102;São João da Boa Vista (SP);75000;2100;75000;4000;80000;2100;80000;2100;75000;2100
MU;3549201;São João das Duas Pontes (SP);80000;0;80000;0;80000;0;76190;0;80000;0
MU;3549250;São João de Iracema (SP);58000;3000;60000;3200;60000;2800;62000;2100;72000;2600
MU;3549300;São João do Pau d'Alho (SP);75000;0;75000;0;70000;0;70000;0;70000;0
MU;3549409;São Joaquim da Barra (SP);80019;3008;80000;3604;80000;3612;72000;3612;72000;2758
MU;3549508;São José da Bela Vista (SP);80000;3000;100000;3000;100000;3000;85000;3000;100000;3000
MU;3549607;São José do Barreiro (SP);60000;0;60000;0;60000;0;60000;0;60000;0
MU;3549706;São José do Rio Pardo (SP);100000;0;70000;3000;70000;3000;80000;3000;83333;3000
MU;3549805;São José do Rio Preto (SP);80000;0;80000;0;100000;3117;80000;3000;80000;3000
MU;3549904;São José dos Campos (SP);50000;0;0;0;0;0;0;0;0;0
MU;3549953;São Lourenço da Serra (SP);0;0;0;0;0;0;0;0;0;0
MU;3550001;São Luiz do Paraitinga (SP);60000;4200;60000;4300;60000;4320;70000;2400;70000;0
MU;3550100;São Manuel (SP);70000;0;60000;0;80000;0;79991;0;79991;0
MU;3550209;São Miguel Arcanjo (SP);0;4800;0;4800;0;4800;0;4800;0;4800
MU;3550308;São Paulo (SP);20000;0;20000;0;20000;0;20000;0;20000;0
MU;3550407;São Pedro (SP);65000;0;65000;0;67000;0;65000;3500;65000;3500
MU;3550506;São Pedro do Turvo (SP);85000;3298;70000;3200;72000;3300;80000;1920;78960;3275
MU;3550605;São Roque (SP);0;3000;100000;3000;100000;3000;83333;3000;83333;3000
MU;3550704;São Sebastião (SP);0;0;0;0;0;0;0;0;0;0
MU;3550803;São Sebastião da Grama (SP);69905;0;69905;0;69905;0;75000;0;70000;0
MU;3550902;São Simão (SP);70000;0;70000;0;70000;0;70000;0;70000;0
MU;3551009;São Vicente (SP);0;0;0;0;0;0;0;0;0;0
MU;3551108;Sarapuí (SP);85000;4000;85000;4000;0;5100;0;4350;0;4350
MU;3551207;Sarutaiá (SP);90000;3000;90000;3300;90000;3300;90000;3300;90000;3600
MU;3551306;Sebastianópolis do Sul (SP);80000;0;80000;3000;70000;3000;70000;3000;70000;3000
MU;3551405;Serra Azul (SP);70000;2100;79223;2100;79223;2100;79223;3000;79223;3000
MU;3551504;Serrana (SP);80000;2880;74000;2400;74000;2400;74000;2400;74000;2400
MU;3551603;Serra Negra (SP);80000;3000;80000;3000;80000;3000;80000;3000;80000;3000
MU;3551702;Sertãozinho (SP);80000;2800;85000;2500;85000;2500;85000;2500;85000;2500
MU;3551801;Sete Barras (SP);0;0;0;0;40000;0;40000;0;40000;0
MU;3551900;Severínia (SP);80000;0;80000;3000;65000;3000;70000;2100;75000;3600
MU;3552007;Silveiras (SP);65000;0;65000;0;65000;0;65000;0;65000;0
MU;3552106;Socorro (SP);80000;4000;80000;4000;80000;4000;80000;4000;80000;4000
MU;3552205;Sorocaba (SP);100000;0;100000;3000;100000;3000;75000;3000;100000;3000
